pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2024-03-30,88.8,-1.4,5.51,"Yamamoto, Yoshinobu",669357,808967,,ball,,,,,13.0,Ball,R,L,R,LAD,STL,B,,,0,0,2024,-0.83,-0.08,-0.97,2.26,,,,1,4,Top,,,,,,,2.786609166698291,-129.3194015501146,-1.7483100696171467,-9.845263347976369,27.51359302911677,-32.86371534704364,3.56,1.71,,,,89.2,1247.0,6.5,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.96,,,,,,,,26,1,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,238.0,0.0,0.039,,,,-0.039,,0,0,0.5271541224287778,0.4728458775712222,25,24,26,24,2,1,9.0,1.0,7.0,1.0,2.97,0.83,-0.83,41.9,,,,,
FC,2024-03-30,90.1,-1.23,5.49,"Yamamoto, Yoshinobu",502671,808967,field_out,hit_into_play,,,,,6.0,"Paul Goldschmidt grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",R,R,R,LAD,STL,X,5.0,ground_ball,1,1,2024,0.31,0.6,0.54,2.52,,,,0,4,Top,107.62,165.27,,,,,3.752086264831515,-131.26488352216572,-2.79194869659005,2.9356140522202088,24.837555095895205,-24.79683925458232,3.44,1.65,5.0,75.3,-28.0,91.0,2309.0,6.6,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.95,0.034,0.05,0.0,1.0,0.0,0.0,2.0,25,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,176.0,0.027,-0.243,,,0.034,0.243,88.0,0,0,0.4999999999998627,0.5000000000001372,25,36,26,37,2,1,9.0,1.0,7.0,1.0,2.17,-0.31,-0.31,46.9,,,,,
FF,2024-03-30,94.9,-1.27,5.46,"Yamamoto, Yoshinobu",502671,808967,,called_strike,,,,,5.0,Called Strike,R,R,R,LAD,STL,S,,,1,0,2024,-0.61,1.36,0.09,2.45,,,,0,4,Top,,,,,,,4.914498802335469,-138.18068067601487,-5.286618924723417,-8.836505210623415,29.902359223874203,-13.8092849533304,3.48,1.74,,,,95.3,2200.0,6.4,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.09,,,,,,,,25,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213.0,0.0,-0.049,,,,0.049,,0,0,0.4999999999998627,0.5000000000001372,25,36,26,37,2,1,9.0,1.0,7.0,1.0,1.17,0.61,0.61,40.7,,,,,
CU,2024-03-30,76.8,-0.91,5.65,"Yamamoto, Yoshinobu",502671,808967,,ball,,,,,14.0,Ball,R,R,R,LAD,STL,B,,,0,0,2024,1.17,-1.33,1.15,1.41,,,,0,4,Top,,,,,,,2.234893048277222,-111.83557834920724,0.4945270816144824,9.270068010267968,22.64236472490806,-43.537768418862925,3.4,1.77,,,,76.6,2580.0,6.4,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.09,,,,,,,,25,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,35.0,0.0,0.038,,,,-0.038,,0,0,0.4999999999998627,0.5000000000001372,25,36,26,37,2,1,9.0,1.0,7.0,1.0,5.22,-1.17,-1.17,51.5,,,,,
CU,2024-03-30,79.5,-1.09,5.5,"Yamamoto, Yoshinobu",680977,808967,field_out,hit_into_play,,,,,8.0,Brendan Donovan lines out to right fielder Jason Heyward.,R,L,R,LAD,STL,X,9.0,line_drive,1,2,2024,1.01,-1.19,0.07,1.49,,,,2,3,Top,181.88,69.75,,,,,0.6589365530041346,-115.82129957126136,0.2101412280079815,8.936113280995077,22.186123622845844,-43.11200568732454,3.26,1.59,348.0,98.8,21.0,79.9,2696.0,6.6,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.94,0.354,0.461,0.0,1.0,0.0,0.0,5.0,21,4,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,34.0,0.011,-0.18,,,0.734,0.18,98.8,0,0,0.5433894082581788,0.4566105917418211,25,27,26,27,2,1,9.0,1.0,7.0,1.0,4.79,-1.01,1.01,50.9,,,,,
FF,2024-03-30,95.0,-1.38,5.44,"Yamamoto, Yoshinobu",680977,808967,,called_strike,,,,,6.0,Called Strike,R,L,R,LAD,STL,S,,,1,1,2024,-0.73,1.35,0.63,2.8,,,,2,3,Top,,,,,,,6.908891413062587,-138.26058623507598,-4.318907974678597,-10.783601587048157,28.654889177790626,-14.07990053926259,3.39,1.76,,,,95.8,2297.0,6.6,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.92,,,,,,,,21,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,209.0,0.0,-0.064,,,,0.064,,0,0,0.5433894082581788,0.4566105917418211,25,27,26,27,2,1,9.0,1.0,7.0,1.0,1.16,0.73,-0.73,41.2,,,,,
FF,2024-03-30,95.5,-1.38,5.33,"Yamamoto, Yoshinobu",680977,808967,,called_strike,,,,,9.0,Called Strike,R,L,R,LAD,STL,S,,,1,0,2024,-0.52,1.32,0.33,2.11,,,,2,3,Top,,,,,,,5.658288634017367,-138.9673119468914,-5.858541885234589,-7.908890686382661,29.58374019947663,-13.995945591229589,3.33,1.67,,,,95.8,2269.0,6.3,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.15,,,,,,,,21,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,211.0,0.0,-0.051,,,,0.051,,0,0,0.5433894082581788,0.4566105917418211,25,27,26,27,2,1,9.0,1.0,7.0,1.0,1.17,0.52,-0.52,41.4,,,,,
FS,2024-03-30,88.0,-1.42,5.42,"Yamamoto, Yoshinobu",680977,808967,,ball,,,,,11.0,Ball,R,L,R,LAD,STL,B,,,0,0,2024,-0.33,0.4,-1.03,3.74,,,,2,3,Top,,,,,,,1.6540675965080716,-128.18220914501512,1.1779175854771369,-3.981578571595343,25.895543814001694,-28.16251047499291,3.38,1.65,,,,88.6,1134.0,6.6,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.94,,,,,,,,21,1,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,256.0,0.0,0.04,,,,-0.04,,0,0,0.5433894082581788,0.4566105917418211,25,27,26,27,2,1,9.0,1.0,7.0,1.0,2.53,0.33,-0.33,39.8,,,,,
FF,2024-03-30,94.8,-1.26,5.43,"Yamamoto, Yoshinobu",687363,808967,field_out,hit_into_play,,,,,1.0,Victor Scott II lines out to center fielder James Outman.,R,L,R,LAD,STL,X,8.0,line_drive,0,2,2024,-0.46,1.19,-0.44,3.13,,,,1,3,Top,112.77,57.48,,,,,3.1922597838890856,-138.03161117767488,-3.044681869990382,-6.558322545319226,29.650847020375636,-16.480142360549532,3.3,1.5,352.0,97.5,23.0,95.4,1975.0,6.5,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.0,0.257,0.351,0.0,1.0,0.0,0.0,5.0,20,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220.0,0.018,-0.162,,,0.587,0.162,97.5,0,0,0.5250391702700967,0.4749608297299033,25,23,26,23,1,0,9.0,1.0,7.0,1.0,1.34,0.46,-0.46,43.6,,,,,
FS,2024-03-30,89.1,-1.42,5.39,"Yamamoto, Yoshinobu",687363,808967,,foul,,,,,7.0,Foul,R,L,R,LAD,STL,S,,,0,2,2024,-0.57,0.11,-0.56,1.82,,,,1,3,Top,,,,,,,3.33461570668984,-129.85320902768848,-3.068126869621044,-7.089239812169241,24.288046288634764,-30.58046395074379,3.3,1.5,,,,90.1,1257.0,6.6,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.92,,,,,,,,20,3,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,238.0,0.0,0.0,,,,0.0,,0,0,0.5250391702700967,0.4749608297299033,25,23,26,23,1,0,9.0,1.0,7.0,1.0,2.73,0.57,-0.57,43.7,,,,,
